Country Name,Stringent Index,year,Gini Index,GDP per capita,Population Density,Hospital Beds,Quarter_only,Quarter,Marginal Mortality,Gini Category
Albania,84.26,2020,29.4,5370.778623,103.5711314,2.91,Q1,2020Q1,0.5285693495319871,Low
Argentina,100.0,2020,42.7,8535.59938,16.51336651,3.2,Q1,2020Q1,0.059745133897143,High
Austria,81.48,2020,29.8,48716.40989,108.0570044,7.06,Q1,2020Q1,1.5027704807430056,Low
Belgium,81.48,2020,26.0,45906.28758,378.3893225,5.52,Q1,2020Q1,6.1099245627980645,Low
Benin,70.83,2020,34.4,1197.501364,115.9113959,0.47,Q1,2020Q1,0.0,Medium
Bhutan,83.33,2020,28.5,3191.66907,20.1889355,2.12,Q1,2020Q1,0.0,Low
Bolivia,96.3,2020,43.6,3099.94219,10.90768854,1.36,Q1,2020Q1,0.05077732037755646,High
Brazil,74.54,2020,48.9,7074.193783,24.96498527,2.43,Q1,2020Q1,0.09632856748464573,High
Bulgaria,73.15,2020,40.5,10198.53883,63.87265107,7.77,Q1,2020Q1,0.11537327219511351,High
Burkina Faso,84.26,2020,37.4,825.2370388,78.50398392,0.2,Q1,2020Q1,0.06518088393659018,Medium
Chile,75.93,2020,47.0,13114.81547,26.0521726,2.03,Q1,2020Q1,0.06194947565963802,High
China,73.61,2020,37.1,10408.71955,150.3055428,5.0,Q1,2020Q1,0.23549004322868686,Medium
Colombia,87.96,2020,53.5,5339.687114,45.63316539,1.69,Q1,2020Q1,0.03160181897699895,Very High
Costa Rica,71.3,2020,49.2,12394.0494,98.59616138,1.15,Q1,2020Q1,0.0397273117322697,High
Croatia,96.3,2020,29.5,14808.46202,69.9464975,5.6,Q1,2020Q1,0.15328779323316147,Low
Czechia,82.41,2020,26.2,23472.89155,138.5759288,6.6,Q1,2020Q1,0.2897776358594403,Low
Denmark,72.22,2020,27.5,60985.48856,145.7851,2.59,Q1,2020Q1,1.5433676006670092,Low
Dominican Republic,92.59,2020,39.6,7162.291752,228.3973491,1.42,Q1,2020Q1,0.4632867926927864,Medium
Ecuador,93.52,2020,47.3,5463.645096,70.64770897,1.32,Q1,2020Q1,0.4274462678668978,High
El Salvador,88.89,2020,39.0,3997.192796,300.9012066,1.08,Q1,2020Q1,0.01603933357852128,Medium
Estonia,77.78,2020,30.7,23933.99394,31.09992982,4.46,Q1,2020Q1,0.3008600083338222,Medium
Finland,71.3,2020,27.1,48828.68469,18.19287688,2.83,Q1,2020Q1,0.9223185351845532,Low
France,87.96,2020,30.7,39169.8606,123.4594937,6.0,Q1,2020Q1,5.2158906858186205,Medium
Georgia,100.0,2020,34.5,4300.857013,65.13027048,4.94,Q1,2020Q1,0.0,Medium
Germany,76.85,2020,32.4,47379.76519,238.0173188,7.8,Q1,2020Q1,0.701050858401904,Medium
Hungary,76.85,2020,29.7,16131.95404,106.8392395,6.76,Q1,2020Q1,0.16410005631708807,Low
India,100.0,2020,33.8,1907.042516,471.7551502,1.62,Q1,2020Q1,0.0024953342685442165,Medium
Indonesia,50.93,2020,35.3,3853.702888,146.3712836,1.4,Q1,2020Q1,0.04948786140266516,Medium
Ireland,85.19,2020,29.2,87567.1149,72.36728117,2.91,Q1,2020Q1,1.4241636849493178,Low
Israel,81.48,2020,37.8,44679.77158,425.836414,3.07,Q1,2020Q1,0.22788683790734773,Medium
Italy,85.19,2020,35.2,32091.48666,200.9991005,3.18,Q1,2020Q1,20.908883316065445,Medium
Jamaica,75.0,2020,40.2,4879.440246,261.379409,1.71,Q1,2020Q1,0.03532646422012061,High
Kazakhstan,92.13,2020,28.7,8781.507978,7.216400711,6.72,Q1,2020Q1,0.010265824807437509,Low
Latvia,61.11,2020,35.7,17564.23215,30.53911297,5.3,Q1,2020Q1,0.0,Medium
Lithuania,81.48,2020,36.0,20541.82499,44.63246567,5.96,Q1,2020Q1,0.14311858985253417,Medium
Luxembourg,79.63,2020,33.4,116905.3704,244.8742649,4.19,Q1,2020Q1,3.648367197054657,Medium
Malaysia,78.7,2020,40.7,9957.526267,103.1488601,1.97,Q1,2020Q1,0.1416365477531457,High
Malta,81.48,2020,31.4,31796.82134,1610.4125,4.38,Q1,2020Q1,0.0,Medium
Mexico,82.41,2020,44.6,8841.27075,65.22752849,1.0,Q1,2020Q1,0.02287083308996927,High
Moldova,87.04,2020,25.7,4375.778893,91.74732605,5.57,Q1,2020Q1,0.15179516760083941,Low
Mongolia,61.11,2020,31.4,4001.251931,2.136237218,8.22,Q1,2020Q1,0.0,Medium
Nepal,96.3,2020,30.0,1154.215176,202.0688804,0.28,Q1,2020Q1,0.0,Medium
Netherlands,78.7,2020,26.0,53467.92774,518.013068,2.91,Q1,2020Q1,5.962789897657885,Low
Niger,66.67,2020,32.9,579.5124958,18.72393858,0.27,Q1,2020Q1,0.012648827687676665,Medium
Panama,79.63,2020,50.9,13290.56083,57.87626045,1.92,Q1,2020Q1,0.6987695367227849,Very High
Paraguay,79.63,2020,43.5,5365.472207,16.62154291,1.01,Q1,2020Q1,0.0454288093457358,High
Peru,94.44,2020,43.7,6133.325524,25.65513984,1.64,Q1,2020Q1,0.4202374286658384,High
Philippines,100.0,2020,40.7,3227.579102,375.8971862,0.99,Q1,2020Q1,0.078514460721999,High
Poland,81.48,2020,28.5,15987.57537,123.8005749,6.11,Q1,2020Q1,0.08707337673457423,Low
Portugal,82.41,2020,34.7,22299.40441,112.406676,3.53,Q1,2020Q1,1.5538384130415213,Medium
Romania,87.04,2020,34.6,13082.30066,83.73283206,7.06,Q1,2020Q1,0.42563683315814743,Medium
Serbia,100.0,2020,35.0,8098.709557,82.04454751,5.35,Q1,2020Q1,0.23191343367261305,Medium
Slovenia,89.81,2020,24.0,25392.06511,104.4088814,4.25,Q1,2020Q1,0.7134638718542783,Low
Spain,85.19,2020,34.9,27230.35999,94.81538375,2.95,Q1,2020Q1,17.86948792326423,Medium
Suriname,71.3,2020,39.2,4755.392217,3.81487831,2.89,Q1,2020Q1,0.0,Medium
Sweden,59.26,2020,28.9,52653.75659,25.42094382,2.05,Q1,2020Q1,3.7185701141707272,Low
Switzerland,73.15,2020,33.7,85897.78433,218.6344696,4.48,Q1,2020Q1,5.614617082536145,Medium
Thailand,68.06,2020,35.0,6985.643939,140.2287851,2.33,Q1,2020Q1,0.013958393156680004,Medium
Tunisia,90.74,2020,33.7,3548.653637,77.07297245,2.38,Q1,2020Q1,0.08351388338973165,Medium
Ukraine,88.89,2020,25.6,3709.769287,77.11428029,6.26,Q1,2020Q1,0.038048331855938984,Low
United Kingdom,79.63,2020,32.6,40201.68124,277.2753854,2.43,Q1,2020Q1,7.669805239420611,Medium
Uruguay,62.96,2020,40.2,15789.68574,19.42045481,2.49,Q1,2020Q1,0.029420694752054152,High
Uzbekistan,90.74,2020,31.2,1978.280519,76.22006581,4.78,Q1,2020Q1,0.005954796189359185,Medium
Albania,68.52,2020,29.4,5370.778623,103.5711314,2.91,Q2,2020Q2,1.656183961866893,Low
Argentina,88.89,2020,42.7,8535.59938,16.51336651,3.2,Q2,2020Q2,2.832361903271964,High
Austria,50.0,2020,29.8,48716.40989,108.0570044,7.06,Q2,2020Q2,7.581140634196058,Low
Belgium,51.85,2020,26.0,45906.28758,378.3893225,5.52,Q2,2020Q2,78.36303247775902,Low
Benin,41.67,2020,34.4,1197.501364,115.9113959,0.47,Q2,2020Q2,0.160671220089044,Medium
Bhutan,83.33,2020,28.5,3191.66907,20.1889355,2.12,Q2,2020Q2,0.0,Low
Bolivia,89.81,2020,43.6,3099.94219,10.90768854,1.36,Q2,2020Q2,9.453044476955094,High
Brazil,77.31,2020,48.9,7074.193783,24.96498527,2.43,Q2,2020Q2,28.55878440287325,High
Bulgaria,41.67,2020,40.5,10198.53883,63.87265107,7.77,Q2,2020Q2,3.2016083034144,High
Burkina Faso,45.37,2020,37.4,825.2370388,78.50398392,0.2,Q2,2020Q2,0.18157531953764405,Medium
Chile,81.02,2020,47.0,13114.81547,26.0521726,2.03,Q2,2020Q2,29.30210198700878,High
China,78.24,2020,37.1,10408.71955,150.3055428,5.0,Q2,2020Q2,0.09850471263553257,Medium
Colombia,87.04,2020,53.5,5339.687114,45.63316539,1.69,Q2,2020Q2,6.553427210355157,Very High
Costa Rica,73.61,2020,49.2,12394.0494,98.59616138,1.15,Q2,2020Q2,0.2780911821258879,High
Croatia,54.63,2020,29.5,14808.46202,69.9464975,5.6,Q2,2020Q2,2.5803445194248846,Low
Czechia,34.72,2020,26.2,23472.89155,138.5759288,6.6,Q2,2020Q2,2.972557683977484,Low
Denmark,57.41,2020,27.5,60985.48856,145.7851,2.59,Q2,2020Q2,8.831492381594552,Low
Dominican Republic,83.33,2020,39.6,7162.291752,228.3973491,1.42,Q2,2020Q2,6.322502112042732,Medium
Ecuador,79.63,2020,47.3,5463.645096,70.64770897,1.32,Q2,2020Q2,25.37321046057905,High
El Salvador,89.81,2020,39.0,3997.192796,300.9012066,1.08,Q2,2020Q2,2.7748047090841816,Medium
Estonia,37.96,2020,30.7,23933.99394,31.09992982,4.46,Q2,2020Q2,4.888975135424611,Medium
Finland,35.19,2020,27.1,48828.68469,18.19287688,2.83,Q2,2020Q2,4.66584670740421,Low
France,51.85,2020,30.7,39169.8606,123.4594937,6.0,Q2,2020Q2,38.934271937250735,Medium
Georgia,58.33,2020,34.5,4300.857013,65.13027048,4.94,Q2,2020Q2,0.4029316230408121,Medium
Germany,63.43,2020,32.4,47379.76519,238.0173188,7.8,Q2,2020Q2,10.08887942022637,Medium
Hungary,49.07,2020,29.7,16131.95404,106.8392395,6.76,Q2,2020Q2,5.835808252776444,Low
India,87.5,2020,33.8,1907.042516,471.7551502,1.62,Q2,2020Q2,1.2380422735220091,Medium
Indonesia,62.5,2020,35.3,3853.702888,146.3712836,1.4,Q2,2020Q2,0.9970348547301658,Medium
Ireland,44.44,2020,29.2,87567.1149,72.36728117,2.91,Q2,2020Q2,33.397641344234,Low
Israel,69.44,2020,37.8,44679.77158,425.836414,3.07,Q2,2020Q2,3.3206367809356383,Medium
Italy,67.59,2020,35.2,32091.48666,200.9991005,3.18,Q2,2020Q2,37.58316256819971,Medium
Jamaica,75.93,2020,40.2,4879.440246,261.379409,1.71,Q2,2020Q2,0.3179381779810855,High
Kazakhstan,81.02,2020,28.7,8781.507978,7.216400711,6.72,Q2,2020Q2,0.9547217070916882,Low
Latvia,50.0,2020,35.7,17564.23215,30.53911297,5.3,Q2,2020Q2,1.5785743263828704,Medium
Lithuania,37.04,2020,36.0,20541.82499,44.63246567,5.96,Q2,2020Q2,2.0394399053986123,Medium
Luxembourg,27.78,2020,33.4,116905.3704,244.8742649,4.19,Q2,2020Q2,13.800345484511094,Medium
Malaysia,50.93,2020,40.7,9957.526267,103.1488601,1.97,Q2,2020Q2,0.21540558304124235,High
Malta,47.22,2020,31.4,31796.82134,1610.4125,4.38,Q2,2020Q2,1.746446950703624,Medium
Mexico,70.83,2020,44.6,8841.27075,65.22752849,1.0,Q2,2020Q2,21.877134824680947,High
Moldova,80.56,2020,25.7,4375.778893,91.74732605,5.57,Q2,2020Q2,20.53029641801353,Low
Mongolia,71.3,2020,31.4,4001.251931,2.136237218,8.22,Q2,2020Q2,0.0,Medium
Nepal,92.59,2020,30.0,1154.215176,202.0688804,0.28,Q2,2020Q2,0.10011539507571728,Medium
Netherlands,59.26,2020,26.0,53467.92774,518.013068,2.91,Q2,2020Q2,29.194736691224954,Low
Niger,25.93,2020,32.9,579.5124958,18.72393858,0.27,Q2,2020Q2,0.2698416573371022,Medium
Panama,83.33,2020,50.9,13290.56083,57.87626045,1.92,Q2,2020Q2,13.998683052346458,Very High
Paraguay,81.48,2020,43.5,5365.472207,16.62154291,1.01,Q2,2020Q2,0.2120011102801004,High
Peru,89.81,2020,43.7,6133.325524,25.65513984,1.64,Q2,2020Q2,114.98670511900042,High
Philippines,79.63,2020,40.7,3227.579102,375.8971862,0.99,Q2,2020Q2,1.0510231219376684,High
Poland,50.93,2020,28.5,15987.57537,123.8005749,6.11,Q2,2020Q2,3.7731796584982162,Low
Portugal,60.65,2020,34.7,22299.40441,112.406676,3.53,Q2,2020Q2,13.751469955417464,Medium
Romania,41.67,2020,34.6,13082.30066,83.73283206,7.06,Q2,2020Q2,8.14419745396504,Medium
Serbia,25.93,2020,35.0,8098.709557,82.04454751,5.35,Q2,2020Q2,3.7830878867844997,Medium
Slovenia,39.81,2020,24.0,25392.06511,104.4088814,4.25,Q2,2020Q2,4.566168779867382,Low
Spain,41.2,2020,34.9,27230.35999,94.81538375,2.95,Q2,2020Q2,41.99456336030823,Medium
Suriname,81.48,2020,39.2,4755.392217,3.81487831,2.89,Q2,2020Q2,2.1230833048894606,Medium
Sweden,59.26,2020,28.9,52653.75659,25.42094382,2.05,Q2,2020Q2,47.79086993484872,Low
Switzerland,35.19,2020,33.7,85897.78433,218.6344696,4.48,Q2,2020Q2,15.32732580882032,Medium
Thailand,59.26,2020,35.0,6985.643939,140.2287851,2.33,Q2,2020Q2,0.06700028715206402,Medium
Tunisia,26.85,2020,33.7,3548.653637,77.07297245,2.38,Q2,2020Q2,0.3340555335589266,Medium
Ukraine,41.67,2020,25.6,3709.769287,77.11428029,6.26,Q2,2020Q2,2.5872865662038516,Low
United Kingdom,71.3,2020,32.6,40201.68124,277.2753854,2.43,Q2,2020Q2,76.23443540111381,Medium
Uruguay,57.41,2020,40.2,15789.68574,19.42045481,2.49,Q2,2020Q2,0.7649380635534079,High
Uzbekistan,66.2,2020,31.2,1978.280519,76.22006581,4.78,Q2,2020Q2,0.07145755427231021,Medium
Albania,54.63,2020,29.4,5370.778623,103.5711314,2.91,Q3,2020Q3,11.452335906526386,Low
Argentina,87.96,2020,42.7,8535.59938,16.51336651,3.2,Q3,2020Q3,34.585794178235,High
Austria,40.74,2020,29.8,48716.40989,108.0570044,7.06,Q3,2020Q3,2.06350573475159,Low
Belgium,47.22,2020,26.0,45906.28758,378.3893225,5.52,Q3,2020Q3,2.3313045494931623,Low
Benin,47.22,2020,34.4,1197.501364,115.9113959,0.47,Q3,2020Q3,0.15302020960861332,Medium
Bhutan,77.78,2020,28.5,3191.66907,20.1889355,2.12,Q3,2020Q3,0.0,Low
Bolivia,81.48,2020,43.6,3099.94219,10.90768854,1.36,Q3,2020Q3,57.90307100387355,High
Brazil,67.13,2020,48.9,7074.193783,24.96498527,2.43,Q3,2020Q3,40.39377929856145,High
Bulgaria,35.19,2020,40.5,10198.53883,63.87265107,7.77,Q3,2020Q3,8.580887119511567,High
Burkina Faso,36.11,2020,37.4,825.2370388,78.50398392,0.2,Q3,2020Q3,0.023278887120210777,Medium
Chile,87.5,2020,47.0,13114.81547,26.0521726,2.03,Q3,2020Q3,36.410804318952245,High
China,54.17,2020,37.1,10408.71955,150.3055428,5.0,Q3,2020Q3,0.007086669973779321,Medium
Colombia,71.3,2020,53.5,5339.687114,45.63316539,1.69,Q3,2020Q3,44.763976580919014,Very High
Costa Rica,62.96,2020,49.2,12394.0494,98.59616138,1.15,Q3,2020Q3,17.638926409127745,High
Croatia,28.7,2020,29.5,14808.46202,69.9464975,5.6,Q3,2020Q3,4.419798038222822,Low
Czechia,38.89,2020,26.2,23472.89155,138.5759288,6.6,Q3,2020Q3,2.860385695902862,Low
Denmark,50.93,2020,27.5,60985.48856,145.7851,2.59,Q3,2020Q3,0.7716838003335046,Low
Dominican Republic,78.7,2020,39.6,7162.291752,228.3973491,1.42,Q3,2020Q3,12.336146362290272,Medium
Ecuador,51.39,2020,47.3,5463.645096,70.64770897,1.32,Q3,2020Q3,38.91470822660238,High
El Salvador,52.78,2020,39.0,3997.192796,300.9012066,1.08,Q3,2020Q3,10.730314164030737,Medium
Estonia,35.19,2020,30.7,23933.99394,31.09992982,4.46,Q3,2020Q3,-0.37607501041727776,Medium
Finland,32.41,2020,27.1,48828.68469,18.19287688,2.83,Q3,2020Q3,0.3616935432096287,Low
France,49.54,2020,30.7,39169.8606,123.4594937,6.0,Q3,2020Q3,3.1537943681693985,Medium
Georgia,60.19,2020,34.5,4300.857013,65.13027048,4.94,Q3,2020Q3,0.564104272257137,Medium
Germany,49.54,2020,32.4,47379.76519,238.0173188,7.8,Q3,2020Q3,0.6192816330651467,Medium
Hungary,40.74,2020,29.7,16131.95404,106.8392395,6.76,Q3,2020Q3,1.846125633567241,Low
India,70.83,2020,33.8,1907.042516,471.7551502,1.62,Q3,2020Q3,5.794736533678195,Medium
Indonesia,72.69,2020,35.3,3853.702888,146.3712836,1.4,Q3,2020Q3,2.8615628093423444,Medium
Ireland,52.31,2020,29.2,87567.1149,72.36728117,2.91,Q3,2020Q3,1.3639877545993466,Low
Israel,85.19,2020,37.8,44679.77158,425.836414,3.07,Q3,2020Q3,13.857690095603955,Medium
Italy,62.96,2020,35.2,32091.48666,200.9991005,3.18,Q3,2020Q3,1.896066261442369,Medium
Jamaica,75.0,2020,40.2,4879.440246,261.379409,1.71,Q3,2020Q3,3.4266670293516994,High
Kazakhstan,78.7,2020,28.7,8781.507978,7.216400711,6.72,Q3,2020Q3,9.685805705817288,Low
Latvia,34.26,2020,35.7,17564.23215,30.53911297,5.3,Q3,2020Q3,0.3683340094893365,Medium
Lithuania,39.81,2020,36.0,20541.82499,44.63246567,5.96,Q3,2020Q3,0.5724743594101367,Medium
Luxembourg,47.22,2020,33.4,116905.3704,244.8742649,4.19,Q3,2020Q3,2.220745250381096,Medium
Malaysia,54.63,2020,40.7,9957.526267,103.1488601,1.97,Q3,2020Q3,0.04426142117285803,High
Malta,42.59,2020,31.4,31796.82134,1610.4125,4.38,Q3,2020Q3,5.0452911909215805,Medium
Mexico,73.61,2020,44.6,8841.27075,65.22752849,1.0,Q3,2020Q3,39.335466966496455,High
Moldova,37.96,2020,25.7,4375.778893,91.74732605,5.57,Q3,2020Q3,29.410313722662636,Low
Mongolia,42.59,2020,31.4,4001.251931,2.136237218,8.22,Q3,2020Q3,0.0,Medium
Nepal,76.85,2020,30.0,1154.215176,202.0688804,0.28,Q3,2020Q3,1.6191075962245312,Medium
Netherlands,62.04,2020,26.0,53467.92774,518.013068,2.91,Q3,2020Q3,1.8633718430180892,Low
Niger,14.81,2020,32.9,579.5124958,18.72393858,0.27,Q3,2020Q3,0.008432551791784444,Medium
Panama,87.04,2020,50.9,13290.56083,57.87626045,1.92,Q3,2020Q3,40.55192544781228,Very High
Paraguay,81.48,2020,43.5,5365.472207,16.62154291,1.01,Q3,2020Q3,12.720066616806026,High
Peru,85.19,2020,43.7,6133.325524,25.65513984,1.64,Q3,2020Q3,134.7104574774688,High
Philippines,67.13,2020,40.7,3227.579102,375.8971862,0.99,Q3,2020Q3,3.781185051588997,High
Poland,23.15,2020,28.5,15987.57537,123.8005749,6.11,Q3,2020Q3,2.7705165324637253,Low
Portugal,58.33,2020,34.7,22299.40441,112.406676,3.53,Q3,2020Q3,3.8360385821962555,Medium
Romania,43.52,2020,34.6,13082.30066,83.73283206,7.06,Q3,2020Q3,16.475259859072683,Medium
Serbia,54.63,2020,35.0,8098.709557,82.04454751,5.35,Q3,2020Q3,6.841446293342084,Medium
Slovenia,50.0,2020,24.0,25392.06511,104.4088814,4.25,Q3,2020Q3,1.8550060668211235,Low
Spain,60.65,2020,34.9,27230.35999,94.81538375,2.95,Q3,2020Q3,7.254201382837417,Medium
Suriname,67.59,2020,39.2,4755.392217,3.81487831,2.89,Q3,2020Q3,14.861583134226226,Medium
Sweden,55.56,2020,28.9,52653.75659,25.42094382,2.05,Q3,2020Q3,5.4088292569756025,Low
Switzerland,43.06,2020,33.7,85897.78433,218.6344696,4.48,Q3,2020Q3,1.1460764766413987,Medium
Thailand,47.22,2020,35.0,6985.643939,140.2287851,2.33,Q3,2020Q3,0.0013958393156680003,Medium
Tunisia,23.15,2020,33.7,3548.653637,77.07297245,2.38,Q3,2020Q3,1.7955484928792305,Medium
Ukraine,58.8,2020,25.6,3709.769287,77.11428029,6.26,Q3,2020Q3,6.821842088053061,Low
United Kingdom,67.59,2020,32.6,40201.68124,277.2753854,2.43,Q3,2020Q3,3.86248112251483,Medium
Uruguay,43.52,2020,40.2,15789.68574,19.42045481,2.49,Q3,2020Q3,0.6178345897931372,High
